Date,GDP251  ,PI074   ,FYFF    ,PSCCOMR ,FMRNBA  ,FMRRA   ,FM2,GDP252  ,IPS10   ,UTL11   ,LHUR    ,HSFR    ,PWFSA   ,GDP273  ,CES275R  ,FM1     ,FSPIN   ,FYGT10  ,EXRUS   ,CES002  ,Sfygt10,HHSNTN  ,PMI     ,PMDEL   ,PMCP    ,GDP256  ,LBOUT   ,PMNV    ,GDP263  ,GDP264  ,GDP265  ,LBMNU   ,PMNO    ,CCINRV  ,BUSLOANS,PMP     ,GDP276_1,GDP270  ,GDP253  ,LHEL    
11\1\1964,0.001168045,0.001019991,0.12,0.019783285,0.000628493,-0.000946778,-0.000863314,0.001207245,0.006530754,86.49203333,-0.033333333,3.175511813,-0.000432347,5.49E-05,-0.000904269,-0.001378159,0.009241699,-0.02,-0.000909126,0.003155302,0.49,1.933333333,61.63333333,69.76666667,68.96666667,0.003304114,-0.002382914,59.86666667,0.012740933,0.011633132,-0.001277272,0.004193482,61.33333333,-0.001659333,0.003729742,62.46666667,-0.000594566,0.000965275,-0.014688559,1.666666667
2\1\1965,0.01053804,-0.000656405,0.396666667,-0.002308632,-0.010454126,-0.0093316,-0.000277161,0.009479295,0.016101463,88.86603333,-0.066666667,3.147882346,0.00042978,-4.96E-06,0.00472756,-0.002403681,0.008970009,0.03,-0.000120468,0.004835689,0.313333333,1.8,62.66666667,67.5,66.66666667,0.041848143,0.007169949,60.8,-0.049575748,-0.015960657,-0.000976114,0.006733281,64.73333333,0.003989259,0.007641271,61.23333333,0.000238677,0.008719235,0.039954216,2.333333333
5\1\1965,0.005831555,0.00142332,0.103333333,0.00814745,0.001974376,0.005079255,-0.001387962,0.004781326,0.009955016,89.39813333,-0.233333333,3.166726056,0.004693418,0.000684286,0.002843533,-0.000738564,0.005550717,0.003333333,0.001216531,0.004917488,0.333333333,0.8,60.66666667,69.2,70.63333333,-0.000136783,0.000502816,59.43333333,0.074717513,0.048451807,0.005514331,0.004283267,59.13333333,-0.000967899,-0.003192972,60.83333333,0.000302254,0.00603712,0.000864768,3.666666667
8\1\1965,0.008722492,-0.001481794,-0.003333333,-0.002652154,0.003597467,0.000244341,0.001216107,0.007394232,0.009000568,89.90226667,-0.3,3.170555059,-0.004282533,-0.000519959,0.001138659,0.002643448,-0.002240049,0.04,0.000240229,0.004868112,0.38,0.9,59.06666667,63.9,69.53333333,0.015265574,0.010126534,55.56666667,-0.025588968,0.001802342,0.014742436,0.001024044,58.73333333,-0.002230142,-0.002822734,59.8,-0.000351213,0.009616073,0.015143859,2.666666667
11\1\1965,0.010380782,0.001000462,0.093333333,0.008729675,0.005312719,0.000393512,0.001017684,0.012041242,0.008698455,89.9839,-0.266666667,3.182604841,0.002940668,-0.000299135,0.003040364,0.002550564,0.024947462,0.226666667,-0.000934972,0.005229771,0.306666667,1.6,60.26666667,65.9,68.73333333,0.002145691,0.007050154,47.53333333,0.030394172,0.020712483,0.009303431,0.004091319,62.26666667,-0.002249826,-0.001478701,61.93333333,0.000344182,0.011068849,0.018132274,7
2\1\1966,0.01049257,0.001753368,0.39,0.022542535,-0.006628679,-0.002003228,-0.001133184,0.006350206,0.012263979,91.11953333,-0.233333333,3.14008884,0.000374532,0.002036841,0.001482665,-0.00021956,0.001229017,0.296666667,0.000360871,0.005433738,0.16,-5.8,65.66666667,80.46666667,80.83333333,0.035046533,0.007511868,50.23333333,-0.007729498,0.010984392,0.007687123,0.006225825,65.63333333,0.001310766,0.002717218,66.1,0.000685823,0.008133364,0.020543508,5
5\1\1966,0.001501855,-0.000126747,0.356666667,-0.009311411,-0.005934409,-7.64E-05,-0.003069706,0.001195141,0.008976213,91.56666667,-0.033333333,3.103917694,-0.002930892,0.000108765,0.001334756,-0.00281854,-0.01588683,0.01,0.000480695,0.005793506,0.193333333,-4.533333333,60.3,75.16666667,82.9,-0.007917615,-0.002415911,53.36666667,0.018628159,0.010671579,0.007634279,0.004238395,57.63333333,-0.00374788,-0.000924573,58.73333333,-0.000245159,0.001533325,-0.018586179,1
8\1\1966,0.00285056,-0.000168061,0.496666667,-0.008121921,0.002692841,-0.001620351,-0.00265551,0.004940079,0.006668539,91.2437,-0.066666667,3.034895715,0.002456634,-0.000142133,0.003002699,-0.006017927,-0.034626647,0.36,-0.000333759,0.004449317,0.096666667,-4.6,59.16666667,73.26666667,77.63333333,-0.004271813,0.000598123,56.56666667,-0.016625201,0.023727611,0.01156783,0.00202949,54.93333333,-0.001893349,0.002138545,58.3,-0.000541616,0.005631815,0.014703556,0
11\1\1966,0.003478114,-0.000208066,0.153333333,-0.03344154,0.005768205,-0.001491492,0.001807102,0.001793731,0.00413057,90.59063333,-0.066666667,2.969105147,-0.002886424,3.14E-05,0.000275236,0.002619921,-0.0115298,-0.136666667,0.000747265,0.002903438,-0.206666667,-0.266666667,54.43333333,63.06666667,69.93333333,0.002132296,0.003613886,55.83333333,0.014102814,0.00492291,0.006966104,-0.001171851,49.06666667,-0.000859511,-0.012198894,55.1,0.001954779,0.000703663,2.48E-05,-1.333333333
2\1\1967,0.00383218,-0.002437058,-0.74,-0.00793622,0.013304022,0.006643529,0.00261886,0.002547748,-0.002399581,88.58453333,0.133333333,3.034227261,-0.002862007,-0.002117422,0.002893226,0.003015168,0.039868819,-0.42,-0.000213373,0.002180967,0.07,4.5,47.33333333,45.36666667,62.9,-0.01220559,0.003996786,46.36666667,0.008290776,0.00649112,0.018072608,-0.000484544,45.53333333,0.000324457,0.00024254,51.06666667,-0.000782718,0.004299477,-0.00832603,-1
